snack;poistettu_naposteltavat;fi
snacktot;naposteltavat;fi
snacksav;suolaiset naposteltavat;fi
snackveg;pähkinät, siemenet ja kuivatut hedelmät;fi
babyftot;lastenruoat;fi
babmeatd;baby lasten liharuokavalmiste;fi
babfishd;baby lasten kalaruokavalmiste;fi
babmilpo;baby lasten maitopuuro;fi
babwatpo;baby lasten puuro veteen;fi
babfrub;baby hedelmä- ja marjavalmiste;fi
babvege;baby lasten kasvisvalmiste;fi
babmifru;baby lasten hedelmämaitovalmiste;fi
babother;lastenruoat tarkentamattomat;fi
mmilk;äidinmaito ja äidinmaitokorvikkeet;fi
infmilk;tavanomaiset äidinmaidonkorvikkeet ja äidinmaito;fi
casmilk;kaseiinihydrolysaatit, äidinmaidonkorvikkeet;fi
premilk;keskosten äidinmaidonkorvikkeet;fi
soymilk;soijapohjaiset äidinmaidonkorvikkeet;fi
wheymilk;heraproteiinihydrolysaatit, äidinmaidonkorvikkeet;fi
aminmilk;aminohappovalmisteet, äidinmaidonkorvikkeet;fi
spectot;ravintovalmisteet;fi
specsupp;ravintoainevalmisteet;fi
mealrep;ateriankorvikkeet;fi
sportfoo;urheiluvalmisteet muut kuin juomat;fi
specfood;kliiniset ravintovalmisteet;fi
meatsauc;lihakastikkeet;fi
