11051;prunus persica, prunus persica var. nectarina;tx
11052;prunus avium l., prunus cerasus l.;tx
11053;prunus domestica;tx
11054;prunus armeniaca;tx
11055;citrullus lanatus;tx
11056;ananas comosus;tx
11057;persea americana;tx
11059;thunnus alalunga;tx
11060;malus domestica;tx
11061;malus;tx
11062;pyrus communis;tx
11063;prunus domestica;tx
11064;agaricus bisporus;tx
11065;rosa rugosa;tx
11067;thunnus alalunga;tx
11071;mangifera indica, carica papaya;tx
11074;medicago sativa;tx
11086;anacardium occidentale;tx
11089;cicer arietinum;tx
11090;phaseolus vulgaris;tx
11134;ocimum basilicum;tx
11135;phyllostachys spp.;tx
11177;piper nigrum;tx
11178;piper nigrum;tx
11182;capsicum annuum;tx
11184;cinnamomum verum, c. aromaticum;tx
11185;syzygium aromaticum;tx
11186;zingiber officinale;tx
11187;elettaria cardamomum;tx
11191;origanum vulgare;tx
11194;thymus vulgaris;tx
11203;cucumis melo;tx
11212;helianthus annuus;tx
11503;vitis vinifera;tx
11505;musa sapientum;tx
11511;solanum tuberosum;tx
11521;oryza sativa;tx
11557;citrus limon;tx
11558;citrus sinensis;tx
11587;rosa;tx
11589;armoracia;tx
11680;solanum tuberosum;tx
11689;asparagus officinalis l.;tx
11701;elaeis guineensis;tx
11734;lentinula edodes;tx
11735;pleurotus ostreatus;tx
28905;triticum durum desf.;tx
28908;hordeum vulgare;tx
28910;oryza sativa;tx
28911;oryza sativa;tx
28913;solanum tuberosum;tx
28914;solanum tuberosum;tx
28915;cucumis melo l. var. retuculata/cantalupensis;tx
28916;malus;tx
28917;pyrus communis;tx
28918;prunus domestica;tx
28919;prunus domestica;tx
28920;prunus avium, prunus cerasus;tx
28921;prunus armeniaca;tx
28922;prunus persica, prunus persica var. nectarina;tx
28923;ananas comosus;tx
28924;citrus sinensis;tx
28925;citrus limon;tx
28926;citrus paradisi;tx
28931;citrullus vulgaris/lanatus;tx
28932;vitis vinifera l.;tx
28933;persea americana;tx
28934;musa sapientum;tx
28935;citrus reticulata;tx
28936;ficus carica;tx
28937;phoenix dactylifera;tx
28938;olea europaea sativa;tx
28939;actinidia chinensis;tx
28941;malus domestica;tx
28942;malus;tx
28944;cucumis melo;tx
28962;zea mays;tx
29150;vaccinium vitis-idaea;tx
29155;theobroma cacao;tx
29207;clupea harengus membras;tx
29217;lactarius rufus;tx
29410;boletus edulis;tx
29411;boletus edulis;tx
29510;pastinaca sativa;tx
29511;apium graveolens var. rapaceum;tx
29782;triticum spp.;tx
29822;zea mays;tx
29823;zea mays;tx
30104;manihot esculenta;tx
30190;avena sativa;tx
30214;eleocharis dulcis;tx
30223;lpomoea batatas;tx
30348;oryza sativa;tx
30601;lpomoea batatas;tx
30602;lpomoea batatas;tx
30603;lpomoea batatas;tx
30914;foeniculum vulgare var. azoricum;tx
30968;pinus spp.;tx
30991;linum usitatissimus;tx
31175;chenopodium quinoa willd;tx
31211;cucurbita pepo;tx
31212;pistacia vera;tx
31213;vigna radiata;tx
31214;phaseolus vulgaris l.;tx
31216;vigna angularis;tx
31217;vigna angularis;tx
31218;cicer arietinum;tx
31219;lens culinaris;tx
31225;lens culinaris;tx
31226;triticum spelta;tx
31233;vicia faba;tx
31237;amaranthus hypochondriacus;tx
31238;ceratonia siliqua;tx
31495;linum usitatissimum;tx
31555;punica granatum;tx
31681;plantago;tx
32182;vaccinium myrtillus;tx
32202;pandalus;tx
32455;citrus paradisi;tx
33060;carica papaya;tx
33065;mangifera indica;tx
33067;mangifera indica, carica papaya;tx
33095;carya illinoinensis;tx
33121;cannabis sativa;tx
33130;anacardium occidentale;tx
33131;pistacia vera;tx
33170;pangasius hypophthalmus;tx
33171;macruronus novaezelandiae;tx
33211;oreochromis niloticus;tx
33251;oreochromis niloticus;tx
33311;macruronus novaezelandiae;tx
33382;salmo salar;tx
33408;coregonus lavaretus;tx
33409;oncorhynchus mykiss;tx
33414;oncorhynchus mykiss;tx
33419;oncorhynchus mykiss;tx
33420;oncorhynchus mykiss;tx
33433;ocimum basilicum;tx
33436;rosa rugosa;tx
33456;spinacia oleracea;tx
33482;agaricus bisporus;tx
33494;capsicum annuum;tx
33499;glysine max;tx
33501;glycine max;tx
33559;fragaria ananassa;tx
33757;citrus sinensis;tx
33893;glysine max;tx
33928;malus;tx
34136;porphyra spp.;tx
34137;undaria spp.;tx
34159;eruca sativa;tx
34228;spinacia oleracea;tx
34229;pisum sativum;tx
34230;diplotaxis muralis;tx
34231;lactica sativa;tx
34232;cichorium intybus var. foliosum;tx
34233;lactuca sativa var. longifolia;tx
34234;allium cepa;tx
34235;raphanus sativus var. longipinnatus;tx
34236;pisum sativum;tx
34237;valerianelle locusta;tx
34238;coriandrum sativum;tx
34239;lactarius trivialis;tx
34240;cantharellus tubaeformis;tx
34241;lactarius torminosus;tx
34242;triticum aestivum;tx
34243;vicia faba;tx
34244;pisum sativum var. macrocarpon;tx
34245;sesamum indicum;tx
34246;secale cereale;tx
34247;secale cereale;tx
34248;hardeum vulgare;tx
34249;triticum aestivum;tx
34252;coregonus lavaretus;tx
34253;clupea harengus harengus;tx
34254;laminaria spp.;tx
34255;salmo salar;tx
34256;oncorhynchus mykiss;tx
34361;mangifera indica;tx
34380;phaseolus vulgaris;tx
34694;carica papaya;tx
34743;vicia faba;tx
34847;salvia hispanica;tx
34848;sprattus sprattus;tx
34971;avena sativa;tx
34972;olea europaea sativa;tx
35220;cannabis sativa;tx
35221;papaver somniferum;tx
35513;linum usitatissimus;tx
35580;vaccinium oxycoccos;tx
35581;suillus variegatus;tx
35582;albatrellus ovinus;tx
35583;leccinum spp.;tx
35584;picea abies;tx
35585;epilobium angustifolium;tx
35586;taraxacum spp.;tx
35587;taraxacum spp.;tx
35588;aegopodium podagraria;tx
35589;ribes nigrum;tx
35591;vaccinium uliginosum;tx
35592;aronia mitschurinii;tx
35593;aronia mitschurinii;tx
35595;ribes nigrum;tx
35596;vaccinium corymbosum;tx
35597;sorbus aucuparia;tx
35599;vaccinium vitis-idaea;tx
35600;hippophae rhamnoides;tx
35601;hippophae rhamnoides;tx
35602;empetrum nigrum;tx
35606;angelica archangelica ssp. archangelica;tx
35607;achillea millefolium;tx
35608;craterellus cornucopioides;tx
35615;juniperus communis;tx
35616;urtica dioica;tx
35619;glycine max;tx
35623;vicia faba;tx
35635;phaseolus vulgaris;tx
35638;phaseolus vulgaris;tx
