367;kantarelli;fi
368;korvasieni;fi
369;tilli, tuore;fi
370;herne, vihreä, tuore;fi
371;herne, vihreä, kuivattu;fi
372;papu, vihreä taitepapu, tuore;fi
373;papu, ruskea tai valkoinen, kuivattu, keskiarvo;fi
375;pähkinä, hasselpähkinä;fi
376;pähkinä, saksanpähkinä;fi
377;kastanja;fi
378;pähkinä, maapähkinä;fi
379;manteli;fi
380;jauho, soijajauho, rasvainen;fi
381;jauho, soijajauho, vähärasvainen;fi
382;kookoshiutale;fi
383;pähkinä, suolapähkinä;fi
384;itu, keskiarvo, sinimailanen, mungopapu;fi
385;seesaminsiemen, kuorineen;fi
386;paprika, punainen;fi
387;paprika, vihreä;fi
388;paprika, keltainen;fi
389;kesäkurpitsa, zucchini;fi
390;täysmehu, tomaattimehu;fi
391;soijapapu, kuivattu;fi
392;ruohosipuli;fi
393;valkosipuli;fi
394;salaatti, kurkkusalaatti, kurkkupikkelssi, kurkkurelissi;fi
395;papu, valkoinen, keitetty;fi
396;pakastekasvissekoitus, herne-maissi-paprika;fi
398;tomaattimurska;fi
399;linssi, vihreä/ruskea, kuivattu;fi
401;omena, kuivattu;fi
408;aprikoosi, sokeriliemessä;fi
409;aprikoosi, kuivattu;fi
411;persikka, sokeriliemessä;fi
412;persikka, kuivattu;fi
417;ananas, sokeriliemessä;fi
423;viinirypäle, keskiarvo, kivetön, vihreä/tumma;fi
427;sekahedelmä, kuivattu;fi
428;rusina;fi
431;oliivi, keskiarvo, punnittu kivineen, öljyssä, vihreä/musta;fi
432;hedelmäsalaattisäilyke, sokeriliemessä;fi
433;täysmehu, omenatäysmehu, c-vitamiinia;fi
434;täysmehu, appelsiinitäysmehu, c-vitamiinia;fi
435;täysmehu, greippitäysmehu, c-vitamiinia;fi
436;täysmehu, c-vitamiinia, keskiarvo;fi
437;täysmehu, sitruunatäysmehu, laimennettu;fi
438;täysmehu, ananastäysmehu, c-vitamiinia;fi
440;puolukka;fi
441;karpalo;fi
442;mustikka, metsämustikka;fi
444;mustaherukka;fi
445;punaherukka;fi
446;karviainen;fi
447;mansikka;fi
448;vadelma;fi
449;lakka, suomuurain, hilla;fi
450;marjahillo, keskiarvo;fi
451;mehu, höyrymehu, laimentamaton, sokeroitu;fi
452;mehu, höyrymehu, mustaherukka, laimentamaton, sokeroitu;fi
453;mehu, höyrymehu laimentamaton, sokeriton;fi
454;marja, keskiarvo;fi
455;tyrnimarja;fi
456;marmeladi, marjoista;fi
457;pihlajanmarja;fi
458;mehu, mustaherukka-puolukkamehujuoma;fi
459;mehu, mehujuoma, puolukka, laimentamaton;fi
461;mehu, höyrymehu laimennettu, sokeroitu;fi
462;mehu, höyrymehu, mustaherukka, laimennettu, sokeroitu;fi
463;mehu, höyrymehu laimennettu, sokeriton;fi
469;täysmehu, viiden hedelmän mehu, c-vitamiinia;fi
471;ananas, omassa liemessään;fi
472;omenasose, makeuttamaton;fi
473;mehu, nektari, hedelmäjuoma, hedelmäpitoisuus 50 %;fi
474;täysmehu, marjatäysmehu;fi
476;hillo, fruktoosilla makeutettu;fi
477;meloni, verkkomeloni/cantaloupemeloni, kuorittu;fi
478;marjajuoma, nektari, marjapitoisuus 50 %;fi
500;voi;fi
501;(arc) rasvaseos 80 %;fi
516;leivontamargariini 80 %, sunnuntai, vl;fi
528;(arc) syväpaistorasva 100 %, uppopaistorasva;fi
529;teollisuusmargariini 80 %, kaulintamargariini;fi
530;leipomoteollisuusmargariini 80 %, leivonta;fi
531;ruokaöljy teollisuuskäyttöön, 70 % rypsiöljyä, 30 % palmuöljyä;fi
535;rypsiöljy;fi
536;oliiviöljy;fi
537;maapähkinäöljy;fi
540;auringonkukkaöljy;fi
541;ruokaöljy keskiarvo, 87 % rypsi- 8 % auringonkukka- ja 5% oliiviöljy;fi
542;soijaöljy;fi
543;maissiöljy;fi
550;paistinrasva, laardi;fi
552;kookosrasva 100 %;fi
553;tali, raaka naudanrasva;fi
562;majoneesi, hampurilaiskastike, rasvaa 60 %;fi
563;salaatinkastike, ranskalainen, sisältää sinappia;fi
